site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section
UNKNOWN,AJCC7,any,M,M1,"Distant metastasis OUTCOME RESULTS The survival curves shown for each anatomic site were constructed using head and neck cancer cases extracted from the National Cancer Data Base (NCDB) for cases diagnosed in 1997 and 1998. Only cases that were staged according to the fi fth edi- tion of the AJCC’s Cancer Staging Manual were included. The 5-year survival analyses for the different sites were stratifi ed by AJCC com- bined stage, which represents pathologic stage when available and only clinical stage when pathologic stage is not available. The survival methods were performed using SPSS software and included observed survival (death from all causes) as well as relative survival (representing an estimation of death from cancer derived from observed survival rates adjusted for expected deaths based on age, race, and gender). The 95% confi dence intervals were provided for each year-5 survival rate to permit analysis of signifi cant differences between the year-5 survival rates of the different stages. Anatomic sites and histologic types were coded according to the third edi- tion of the International Classification of Diseases for Oncology (ICD-0-3). The subsites included in each analysis were chosen on the basis of those listed in the fifth edition of the AJCC’s Cancer Staging Manual . Survival analysis for lip, oral cavity, oropharynx, nasopharynx, hypopharynx, and the larynx’s sub- sites was limited to squamous cell carcinomas only (M8050, 8051-8082). Sur- vival analyses for the maxillary sinus and the major salivary glands included all histologic types. Survival analyses for the thyroid gland included papillary adenocarcinoma (M8050, 8260, 8340, 8503-8604), follicular adenocarcinoma (M8330-8332), medullary carcinoma (M8510-M8512), and anaplastic carci- noma (M8021). BIBLIOGRAPHY Beahrs O, Henson DE, Hutter RVP, Kennedy BJ, editors. American Joint Committee on Cancer: manual for staging of cancer. 4th ed. Philadelphia: JB Lippincott; 1992. Bernier J, Cooper JS. Chemoradiation after surgery for high-risk head and neck cancer patients: how strong is the evidence? Oncologist. 2005;10(3):215-24. Cerezo L, Millan I, Torre A, Aragon G, Otero J. Prognostic factors for survival and tumor control in cervical lymph node metastases from head and neck cancer: a multivariate study of 492 cases. Cancer. 1992;69:1224-34. Cooper JS, Farnan NC, Asbell SO, et al. Recursive partitioning analysis of 2105 patients treated in Radiation Therapy Oncology Group studies of head and neck cancer. Cancer. 1996;77:1905-11. de Leeuw JR, de Graeff A, Ros WJ, Blijham GH, Hordijk GJ, Winnubst JA. Prediction of depressive symptomatology after treatment of head and neck cancer: the infl uence of pre-treatment physical and depressive symptoms, coping, and social support. Head Neck. 2000;22(8):799-807. Deleyiannis FW, Thomas DB, Vaughan TL, et al. Alcoholism: independent pre- dictor of survival in patients with head and neck cancer. J Natl Cancer Inst. 1996;88:542-9. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,42,B00010
Lip and Oral Cavity,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,Tis,Carcinoma in situ,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T1,Tumor 2 cm or less in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T2,Tumor more than 2 cm but not more than 4 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T3,Tumor more than 4 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T4a,"Moderately advanced local disease* (lip) Tumor invades through cortical bone, inferior alveolar nerve, fl oor of mouth, or skin of face, that is, chin or nose (oral cavity) Tumor invades adjacent structures only (e.g., through cortical bone [mandible or maxilla] into deep [extrinsic] muscle of tongue [genioglossus, hyoglossus, palatoglossus, and sty- loglossus], maxillary sinus, skin of face)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,T,T4b,"Very advanced local disease Tumor invades masticator space, pterygoid plates, or skull base and/or encases internal carotid artery * Note : Superficial erosion alone of bone/tooth socket by gingival primary is not suffi cient to classify a tumor as T4.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00012
Lip and Oral Cavity,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or less in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N2,"Metastasis in a single ipsilateral lymph node, more than 3 cm but not more than 6 cm in great- est dimension; or in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimen- sion; or in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N2a,Metastasis in single ipsilateral lymph node more than 3 cm but not more than 6 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N2b,"Metastasis in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N2c,"Metastasis in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,N,N3,Metastasis in a lymph node more than 6 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,49,B00013
Lip and Oral Cavity,AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,50,B00016
Lip and Oral Cavity,AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,50,B00016
Lip and Oral Cavity,AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,50,B00016
Lip and Oral Cavity,AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,50,B00016
Lip and Oral Cavity,AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,50,B00016
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,Tis,Carcinoma in situ Nasopharynx,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T1,"Tumor confi ned to the nasopharynx, or tumor extends to oropharynx and/or nasal cavity with- out parapharyngeal extension*",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T2,Tumor with parapharyngeal extension*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T3,Tumor involves bony structures of skull base and/ or paranasal sinuses,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T4,"Tumor with intracranial extension and/or involve- ment of cranial nerves, hypopharynx, orbit, or with extension to the infratemporal fossa/masticator space *Note: Parapharyngeal extension denotes posterolateral infi ltration of tumor. Oropharynx",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T1,Tumor 2 cm or less in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T2,Tumor more than 2 cm but not more than 4 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T3,Tumor more than 4 cm in greatest dimension or extension to lingual surface of epiglottis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T4a,"Moderately advanced local disease Tumor invades the larynx, extrinsic muscle of tongue, medial pterygoid, hard palate, or mandible*",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T4b,"Very advanced local disease Tumor invades lateral pterygoid muscle, ptery- goid plates, lateral nasopharynx, or skull base or encases carotid artery *Note: Mucosal extension to lingual surface of epiglottis from primary tumors of the base of the tongue and vallecula does not constitute invasion of larynx. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,60,B00023
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N0,No regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N1,"Unilateral metastasis in cervical lymph node(s), 6 cm or less in greatest dimension, above the supraclavicular fossa, and/or unilateral or bilat- eral, retropharyngeal lymph nodes, 6 cm or less, in greatest dimension*",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N2,"Bilateral metastasis in cervical lymph node(s), 6 cm or less in greatest dimension, above the supr- aclavicular fossa*",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N3,Metastasis in a lymph node(s)* >6 cm and/or to supraclavicular fossa*,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N3a,Greater than 6 cm in dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N3b,"Extension to the supraclavicular fossa** *Note: Midline nodes are considered ipsilateral nodes. **Note: Supraclavicular zone or fossa is relevant to the stag- ing of nasopharyngeal carcinoma and is the triangular region originally described by Ho. It is defi ned by three points: (1) the superior margin of the sternal end of the clavicle, (2) the superior margin of the lateral end of the clavicle, (3) the point where the neck meets the shoulder (Figure 4.2). Note that this would include caudal portions of levels IV and VB. All cases with lymph nodes (whole or part) in the fossa are considered N3b.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00024
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or less in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N2,"Metastasis in a single ipsilateral lymph node, more than 3 cm but not more than 6 cm in greatest dimension, or in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimension, or in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N2a,Metastasis in a single ipsilateral lymph node more than 3 cm but not more than 6 cm in greatest dimension,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N2b,"Metastasis in multiple ipsilateral lymph nodes, none more than 6 cm in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N2c,"Metastasis in bilateral or contralateral lymph nodes, none more than 6 cm in greatest dimen- sion",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N3,Metastasis in a lymph node more than 6 cm in greatest dimension *Note: Metastases at level VII are considered regional lymph node metastases.,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00025
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,M,M0,No distant metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00026
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,M,M1,"Distant metastasis FIGURE 4.2. Shaded triangular area corresponds to the supraclavicular fossa used in staging carcinoma of the nasopharynx. In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,61,B00026
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,G,GX,Grade cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,63,B00028
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,G,G1,Well differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,63,B00028
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,G,G2,Moderately differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,63,B00028
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,G,G3,Poorly differentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,63,B00028
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,G,G4,Undifferentiated,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,63,B00028
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,Tis,"Carcinoma in situ Nasopharynx Tumor confined to the nasopharynx, or extends to oropharynx and/or nasal cavity without parapharyngeal extension* Tumor with parapharyngeal extension* Tumor involves bony structures of skull base and/or paranasal sinuses Tumor with intracranial extension and/or involvement of involvement of cranial nerves, hypopharynx, orbit, or with extension to the infratemporal fossa/ masticator space * Parapharyngeal extension denotes posterolateral infiltration of tumor. Oropharynx Tumor 2 cm or less in greatest dimension Tumor more than 2 cm but not more than 4 cm in greatest dimension Tumor more than 4 cm in greatest dimension or extension to lingual surface of epiglottis Moderately advanced local disease. Tumor invades the larynx, extrinsic muscle of tongue, medial pterygoid, hard palate, or mandible* Very advanced local disease. Tumor invades lateral pterygoid muscle, pterygoid plates, lateral nasopharynx, or skull base or encases carotid artery * Mucosal extension to lingual surface of epiglottis from primary tumors of the base of the tongue and vallecula does not constitute invasion of larynx. Hypopharynx Tumor limited to one subsite of hypopharynx and 2 cm or less in greatest dimension Tumor invades more than one subsite of hypopharynx or an adjacent site, or measures more than 2 cm but not more than 4 cm in greatest dimension without fixation of hemilarynx Tumor more than 4 cm in greatest dimension or with fixation of hemilarynx or extension to esophagus Moderately advanced local disease. Tumor invades thyroid/cricoid cartilage, hyoid bone, thyroid gland, or central compartment soft tissue* Very advanced local disease. Tumor invades prevertebral fascia, encases carotid artery, or involves mediastinal structures * Central compartment soft tissue includes prelaryngeal strap muscles and subcutaneous fat.",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,67,B00029
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,T,T4b,"(continued on next page) In order to view this proof accurately, the Overprint Preview Option must be set to Always in Acrobat Professional or Adobe Reader. Please contact your Customer Service Representative if you have questions about finding this option. Job Name: -- /381449t",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,67,B00029
"Pharynx (Including base of tongue, soft palate, and uvula)",AJCC7,any,N,N3,M0 M1,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,68,B00030
Larynx,AJCC7,any,T,TX,Primary tumor cannot be assessed,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T0,No evidence of primary tumor,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,Tis,Carcinoma in situ Supraglottis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T1,Tumor limited to one subsite of supraglottis with normal vocal cord mobility,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T2,"Tumor invades mucosa of more than one adjacent subsite of supraglottis or glottis or region outside the supraglottis (e.g., mucosa of base of tongue, vallecula, medial wall of pyriform sinus) without fi xation of the larynx",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T3,"Tumor limited to larynx with vocal cord fi xation and/or invades any of the following: postcricoid area, preepiglottic space, paraglottic space, and/or inner cortex of thyroid cartilage",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T4a,"Moderately advanced local disease Tumor invades through the thyroid cartilage and/ or invades tissues beyond the larynx (e.g., trachea, soft tissues of neck including deep extrinsic muscle of the tongue, strap muscles, thyroid, or esophagus)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T4b,"Very advanced local disease Tumor invades prevertebral space, encases carotid artery, or invades mediastinal structures Glottis",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T1,Tumor limited to the vocal cord(s) (may involve anterior or posterior commissure) with normal mobility,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T1a,Tumor limited to one vocal cord,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T1b,Tumor involves both vocal cords,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T2,"Tumor extends to supraglottis and/or subglottis, and/or with impaired vocal cord mobility",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T3,"Tumor limited to the larynx with vocal cord fixation and/or invasion of paraglottic space, and/or inner cortex of the thyroid cartilage",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T4a,"Moderately advanced local disease Tumor invades through the outer cortex of the thyroid cartilage and/or invades tissues beyond the larynx (e.g., trachea, soft tissues of neck including deep extrinsic muscle of the tongue, strap muscles, thyroid, or esophagus)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T1,Tumor limited to the subglottis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T2,Tumor extends to vocal cord(s) with normal or impaired mobility,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T3,Tumor limited to larynx with vocal cord fi xation,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T4a,"Moderately advanced local disease Tumor invades cricoid or thyroid cartilage and/ or invades tissues beyond the larynx (e.g., tra- chea, soft tissues of neck including deep extrinsic muscles of the tongue, strap muscles, thyroid, or esophagus)",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,T,T4b,"Very advanced local disease Tumor invades prevertebral space, encases carotid artery, or invades mediastinal structures",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00034
Larynx,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed N0; no regional lymph node metastasis,extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00035
Larynx,AJCC7,any,N,N1,"Metastasis in a single ipsilateral lymph node, 3 cm or less in greatest dimension",extracted from formal definition source block; cancer committee review pending,extracted_candidate_v2_1_not_curated,75,B00035
