site,display_label,alias
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,appendiceal carcinoma
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,LAMN
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,mucinous appendix cancer
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,闌尾癌
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,闌尾腺癌
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,黏液性闌尾腫瘤
Appendix - carcinoma,Appendiceal carcinoma / appendix adenocarcinoma / 闌尾癌,Appendix - Carcinoma
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,GIST
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,gastrointestinal stromal tumor
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,GI stromal tumor
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,胃腸道基質瘤
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,腸胃道基質瘤
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,基質瘤
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,Gastrointestinal Stromal Tumor: Gastric and Omental GIST
GIST,Gastrointestinal stromal tumor (GIST) / 胃腸道基質瘤,"Gastrointestinal Stromal Tumor: Small Intestinal, Esophageal, Colorectal, Mesenteric,"
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,HCC / Liver
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,HCC
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,hepatocellular carcinoma
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,liver cancer
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,primary liver cancer
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,肝癌
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,肝細胞癌
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,原發性肝癌
HCC / Liver,Hepatocellular carcinoma (HCC) / Liver / 肝細胞癌,Liver
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,Intrahepatic bile duct
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,Intrahepatic cholangiocarcinoma / 肝內膽管癌
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,intrahepatic cholangiocarcinoma
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,iCCA
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,ICC
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,intrahepatic bile duct cancer
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,cholangiocarcinoma intrahepatic
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,肝內膽管癌
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,肝內膽管細胞癌
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,膽管癌
Intrahepatic bile duct,Intrahepatic cholangiocarcinoma / 肝內膽管癌,Intrahepatic Bile Duct
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,Perihilar bile duct
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,Perihilar cholangiocarcinoma / 肝門膽管癌
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,perihilar cholangiocarcinoma
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,hilar cholangiocarcinoma
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,Klatskin tumor
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,pCCA
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,肝門膽管癌
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,肝門部膽管癌
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,克拉斯金腫瘤
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,膽管癌
Perihilar bile duct,Perihilar cholangiocarcinoma / 肝門膽管癌,Perihilar Bile Ducts
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,Distal bile duct
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,Distal bile duct cholangiocarcinoma / 遠端膽管癌
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,distal cholangiocarcinoma
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,distal bile duct cancer
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,dCCA
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,遠端膽管癌
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,下段膽管癌
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,膽管癌
Distal bile duct,Distal bile duct cholangiocarcinoma / 遠端膽管癌,Distal Bile Duct
Gallbladder,Gallbladder carcinoma / 膽囊癌,Gallbladder
Gallbladder,Gallbladder carcinoma / 膽囊癌,Gallbladder carcinoma / 膽囊癌
Gallbladder,Gallbladder carcinoma / 膽囊癌,gallbladder cancer
Gallbladder,Gallbladder carcinoma / 膽囊癌,gall bladder carcinoma
Gallbladder,Gallbladder carcinoma / 膽囊癌,GBC
Gallbladder,Gallbladder carcinoma / 膽囊癌,膽囊癌
Gallbladder,Gallbladder carcinoma / 膽囊癌,膽囊腺癌
Gallbladder,Gallbladder carcinoma / 膽囊癌,Gallbladder
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,Ampulla of Vater
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,Ampulla of Vater carcinoma / 壺腹癌
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,ampullary cancer
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,ampullary carcinoma
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,ampulla cancer
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,ampulla of vater cancer
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,壺腹癌
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,十二指腸壺腹癌
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,乏特氏壺腹癌
Ampulla of Vater,Ampulla of Vater carcinoma / 壺腹癌,Ampulla of Vater
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,Exocrine pancreas
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancreatic adenocarcinoma
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancreas adenocarcinoma
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancreatic ductal adenocarcinoma
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,PDAC
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancreatic cancer
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancreas cancer
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,exocrine pancreatic cancer
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,PANCREATIC ADENOCARCINOMA
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,PANCRATIC ADENOCARCINOMA
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,pancratic
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,胰臟癌
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,胰臟腺癌
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,胰腺癌
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,胰管腺癌
Exocrine pancreas,Pancreatic adenocarcinoma / Exocrine pancreas / 胰臟腺癌,Exocrine Pancreas
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,NET - stomach
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,gastric NET
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,stomach NET
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,gastric neuroendocrine tumor
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,胃NET
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,胃神經內分泌瘤
NET - stomach,Gastric NET / stomach neuroendocrine tumor / 胃神經內分泌瘤,Neuroendocrine Tumors of the Stomach
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,NET - duodenum / ampulla
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,duodenal NET
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,ampullary NET
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,duodenum neuroendocrine tumor
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,十二指腸NET
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,壺腹NET
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,十二指腸神經內分泌瘤
NET - duodenum / ampulla,Duodenal / ampullary NET / 十二指腸壺腹神經內分泌瘤,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,NET - jejunum / ileum
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,small bowel NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,jejunal NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,ileal NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,midgut NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,空腸NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,迴腸NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,小腸NET
NET - jejunum / ileum,Jejunal / ileal NET / 空腸迴腸神經內分泌瘤,Neuroendocrine Tumors of the Jejunum and Ileum
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,NET - appendix
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,Appendiceal NET / 闌尾神經內分泌瘤
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,appendiceal NET
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,appendix NET
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,闌尾NET
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,闌尾神經內分泌瘤
NET - appendix,Appendiceal NET / 闌尾神經內分泌瘤,Neuroendocrine Tumors of the Appendix
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,NET - colon / rectum
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,Colorectal NET / 結直腸神經內分泌瘤
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,colorectal NET
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,colon NET
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,rectal NET
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,結腸NET
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,直腸NET
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,結直腸神經內分泌瘤
NET - colon / rectum,Colorectal NET / 結直腸神經內分泌瘤,Neuroendocrine Tumors of the Colon and Rectum
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,NET - pancreas
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,Pancreatic NET / 胰臟神經內分泌瘤
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,pancreatic NET
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,pNET
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,pancreas neuroendocrine tumor
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,pancreatic neuroendocrine tumor
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,胰臟NET
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,胰臟神經內分泌瘤
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,胰腺NET
NET - pancreas,Pancreatic NET / 胰臟神經內分泌瘤,Neuroendocrine Tumors of the Pancreas
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,頭頸部不明原發
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,頸部淋巴結不明原發
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,頭頸癌不明原發
Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,Cervical Lymph Nodes and Unknown Primary Tumors of the Head and Neck,unknown primary head neck
Oral Cavity,Oral Cavity,Oral Cavity
Oral Cavity,Oral Cavity,Oral Cavity
Oral Cavity,Oral Cavity,Oral Cavity
Oral Cavity,Oral Cavity,口腔癌
Oral Cavity,Oral Cavity,口腔
Oral Cavity,Oral Cavity,oral cancer
Oral Cavity,Oral Cavity,tongue cancer
Oral Cavity,Oral Cavity,舌癌
Oral Cavity,Oral Cavity,頰黏膜癌
Oral Cavity,Oral Cavity,牙齦癌
Oral Cavity,Oral Cavity,口底癌
Major Salivary Glands,Major Salivary Glands,Major Salivary Glands
Major Salivary Glands,Major Salivary Glands,Major Salivary Glands
Major Salivary Glands,Major Salivary Glands,Major Salivary Glands
Major Salivary Glands,Major Salivary Glands,唾液腺癌
Major Salivary Glands,Major Salivary Glands,腮腺癌
Major Salivary Glands,Major Salivary Glands,顎下腺癌
Major Salivary Glands,Major Salivary Glands,salivary gland cancer
Major Salivary Glands,Major Salivary Glands,parotid
Nasopharynx,Nasopharynx,Nasopharynx
Nasopharynx,Nasopharynx,Nasopharynx
Nasopharynx,Nasopharynx,Nasopharynx
Nasopharynx,Nasopharynx,鼻咽癌
Nasopharynx,Nasopharynx,NPC
Nasopharynx,Nasopharynx,nasopharyngeal carcinoma
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,HPV陽性口咽癌
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,p16 positive oropharynx
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,oropharynx HPV
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,扁桃腺癌
HPV-Mediated (p16+) Oropharyngeal Cancer,HPV-Mediated (p16+) Oropharyngeal Cancer,舌根癌
Oropharynx (p16-),Oropharynx (p16-),Oropharynx (p16-)
Oropharynx (p16-),Oropharynx (p16-),Oropharynx (p16-)
Oropharynx (p16-),Oropharynx (p16-),Oropharynx (p16-)
Oropharynx (p16-),Oropharynx (p16-),HPV陰性口咽癌
Oropharynx (p16-),Oropharynx (p16-),p16 negative oropharynx
Oropharynx (p16-),Oropharynx (p16-),oropharyngeal cancer
Oropharynx (p16-),Oropharynx (p16-),口咽癌
Hypopharynx,Hypopharynx,Hypopharynx
Hypopharynx,Hypopharynx,Hypopharynx
Hypopharynx,Hypopharynx,Hypopharynx
Hypopharynx,Hypopharynx,下咽癌
Hypopharynx,Hypopharynx,hypopharyngeal cancer
Maxillary Sinus,Maxillary Sinus,Maxillary Sinus
Maxillary Sinus,Maxillary Sinus,Maxillary Sinus
Maxillary Sinus,Maxillary Sinus,Maxillary Sinus
Maxillary Sinus,Maxillary Sinus,上頷竇癌
Maxillary Sinus,Maxillary Sinus,上顎竇癌
Maxillary Sinus,Maxillary Sinus,maxillary sinus cancer
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,鼻腔癌
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,篩竇癌
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,nasal cavity cancer
Nasal Cavity and Ethmoid Sinus,Nasal Cavity and Ethmoid Sinus,ethmoid sinus cancer
Larynx: Supraglottis,Larynx: Supraglottis,Larynx: Supraglottis
Larynx: Supraglottis,Larynx: Supraglottis,Larynx: Supraglottis
Larynx: Supraglottis,Larynx: Supraglottis,Larynx: Supraglottis
Larynx: Supraglottis,Larynx: Supraglottis,Supraglottis
Larynx: Supraglottis,Larynx: Supraglottis,喉癌
Larynx: Supraglottis,Larynx: Supraglottis,聲門上癌
Larynx: Supraglottis,Larynx: Supraglottis,supraglottic larynx
Larynx: Glottis,Larynx: Glottis,Larynx: Glottis
Larynx: Glottis,Larynx: Glottis,Larynx: Glottis
Larynx: Glottis,Larynx: Glottis,Larynx: Glottis
Larynx: Glottis,Larynx: Glottis,Glottis
Larynx: Glottis,Larynx: Glottis,喉癌
Larynx: Glottis,Larynx: Glottis,聲門癌
Larynx: Glottis,Larynx: Glottis,glottic cancer
Larynx: Subglottis,Larynx: Subglottis,Larynx: Subglottis
Larynx: Subglottis,Larynx: Subglottis,Larynx: Subglottis
Larynx: Subglottis,Larynx: Subglottis,Larynx: Subglottis
Larynx: Subglottis,Larynx: Subglottis,Subglottis
Larynx: Subglottis,Larynx: Subglottis,喉癌
Larynx: Subglottis,Larynx: Subglottis,聲門下癌
Larynx: Subglottis,Larynx: Subglottis,subglottic cancer
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,頭頸黏膜黑色素瘤
Mucosal Melanoma of the Head and Neck,Mucosal Melanoma of the Head and Neck,mucosal melanoma head neck
