site,edition,classification,t,n,m,grade,location,stage,note
Oropharynx (p16-),AJCC8,yp,T3,N2,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.3 Posterior pharyngeal | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T4,N0,M0,Any,Any,IVA,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,Any,Any,M1,Any,Any,IVC,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,Any,N3,M0,Any,Any,IVB,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T4,N2,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T4,N1,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T3,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T3,N1,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T3,N0,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T2,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T1,N1,M0,Any,Any,II,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,yp,T4,N2,M0,Any,Any,IVA,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.8 Overlapping lesion | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T1,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T2,N1,M0,Any,Any,II,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T2,N0,M0,Any,Any,II,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,yp,Tis,N0,M0,Any,Any,0,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C02.4 Lingual tonsil; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,yp,Any,N3,M0,Any,Any,IVB,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C10.9 Oropharynx, NOS; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T3,N0,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,yp,T1,N1,M0,Any,Any,III,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.0 | Postcricoid region; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,yp,T2b,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.2 Posterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,yp,T2a,N0,M0,Any,Any,IB,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | mediastinum; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Nasopharynx,AJCC8,any,T1,N0,M0,Any,Any,I,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,yp,T1a,N0,M0,Any,Any,IIA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G2, G3 | C38.3 Mediastinum, NOS; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,yp,T1b,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_carried; extra_factors/raw_extra=G1, GX | C38.1 Anterior; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,yp,T1a,N0,M0,Any,Any,IA,"source_page=307; extract_method=stage_first; extra_factors/raw_extra=G1, GX | C38.0 Heart; duplicate_source_page=311 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Soft Tissue Sarcoma -> tool_site=Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs; AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,Any,Any,M1,Any,Any,IVC,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,Any,N3,M0,Any,Any,IVB,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T4,N2,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T4,N1,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T4,N0,M0,Any,Any,IVA,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T3,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,any,T3,N1,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
Oropharynx (p16-),AJCC8,yp,Any,Any,M1,Any,Any,IVC,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C11.0 Superior wall of; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Oropharynx (p16-); AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease. | SURROGATE_AJCC8_FROM_AJCC7_REVIEW_REQUIRED_v1.7: no AJCC8 stage-grouping rule rows were extractable from the uploaded AJCC8 PDF for this site; copied from AJCC7 to avoid blank result pending cancer committee validation."
