form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation,tnm_first_strategy,exception_category,release_status,tnm_default_policy
15.0,Cutaneous Carcinoma of the Head and Neck,88-92,True,True,False,single/shared table,TX Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N2 N2a N2b N2c N3 N3a N3b,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
16.1,Esophagus and Esophagogastric Junction: Squamous Cell Carcinoma,94-100,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology; tumor location/site,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology; requires tumor location/site,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
16.2,Esophagus and Esophagogastric Junction: Adenocarcinoma,101-106,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,M0 M1 MX,grade/G; histology,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
16.3,Esophagus and Esophagogastric Junction: Other Histologies,107-111,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
17.0,Stomach,112-118,True,True,False,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b,NX N0 N1 N2 N3 N3a N3b,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification,Smart-form needed before validated release.,tnm_plus_classification_split,TNM plus c/p/yp table split,build_tnm_rows_with_stage_basis_tabs,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
18.1,Small Intestine: Adenocarcinoma,120-125,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
18.2,Small Intestine: Other Histologies,126-130,True,True,True,none,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1 N2,MX,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
19.0,Appendix - Carcinoma,131-135,True,True,False,single/shared table,TX T0 Tis Tis(LAMN) T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2,M0 M1a M1b M1c MX,grade/G,stage table uses T subcategories; stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
20.0,Colon and Rectum,136-140,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b,M0 M1a M1b M1c MX,,stage table uses N subcategories; stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
21.0,Anus,141-144,True,True,False,single/shared table,TX T0 Tis T1 T2 T3 T4,NX N0 N1 N1a N1b N1c,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
22.0,Liver,145-148,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
23.0,Intrahepatic Bile Duct,149-152,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
24.0,Gallbladder,153-156,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
25.0,Perihilar Bile Ducts,157-159,True,True,False,single/shared table,TX T0 Tis T1 T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
26.0,Distal Bile Duct,160-163,True,True,False,single/shared table,TX Tis T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
27.0,Ampulla of Vater,164-167,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T3a T3b T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
28.0,Exocrine Pancreas,168-171,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T1c T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
29.0,Neuroendocrine Tumors of the Stomach,172-175,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
30.0,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,176-181,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
31.0,Neuroendocrine Tumors of the Jejunum and Ileum,182-186,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
32.0,Neuroendocrine Tumors of the Appendix,187-191,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
33.0,Neuroendocrine Tumors of the Colon and Rectum,192-195,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
34.0,Neuroendocrine Tumors of the Pancreas,196-200,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
35.0,Thymus,201-203,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1 N2,M0 M1a M1b MX,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
36.0,Lung,204-209,True,True,False,single/shared table,TX T0 Tis T1 T1mi T1a T1b T1c T2 T2a T2b T3 T4,NX N0 N1 N2 N3,M0 M1 M1a M1b M1c MX,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
37.0,Malignant Pleural Mesothelioma,210-214,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
38.1,"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",216-219,True,True,False,single/shared table,TX T0 T1 T2 T3,NX N0 N1,M0 M1a M1b MX,grade/G,stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
38.2,Bone: Spine,220-222,True,True,True,none,TX T0 T1 T2 T3 T4 T4a T4b,NX N0 N1,MX,,no prognostic stage grouping,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
38.3,Bone: Pelvis,223-226,True,True,True,none,TX T0 T1 T1a T1b T2 T2a T2b T3 T3a T3b T4 T4a T4b,NX N0 N1,MX,,no prognostic stage grouping,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
40.0,Soft Tissue Sarcoma of the Head and Neck,227-230,True,True,False,single/shared table,TX T1 T2 T3 T4 T4a T4b,N0 N1,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
41.0,Soft Tissue Sarcoma of the Trunk and Extremities,231-234,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,grade/G,requires grade/G,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
42.0,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,235-238,True,True,False,single/shared table,TX T1 T2 T2a T2b T3 T4 T4a T4b T4c,N0 N1,MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
43.1,Gastrointestinal Stromal Tumor: Gastric and Omental GIST,240-242,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
43.2,"Gastrointestinal Stromal Tumor: Small Intestinal, Esophageal, Colorectal, Mesenteric,",243-245,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
44.0,Soft Tissue Sarcoma of the Retroperitoneum,246-249,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,grade/G,requires grade/G,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
45.0,Soft Tissue Sarcoma – Unusual Histologies and Sites,250-252,False,True,True,none,,,,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,exception_note_only,No prognostic stage group / histology redirect,note_or_redirect_only,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
46.0,Merkel Cell Carcinoma,253-257,True,True,False,clinical/cTNM; pathological/pTNM,TX T0 Tis T1 T2 T3 T4,NX N0 N1 N1a N1b N2 N3,M0 M1 MX,,stage table uses N subcategories; separate stage tables by classification,Smart-form needed before validated release.,tnm_plus_classification_split,TNM plus c/p/yp table split,build_tnm_rows_with_stage_basis_tabs,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
47.0,Melanoma of the Skin,258-267,True,True,False,clinical/cTNM; pathological/pTNM,TX T0 Tis T1 T1a T1b T2 T2a T2b T3 T3a T3b T4 T4a T4b,NX N0 N1 N1a N1b N1c N2 N2a N2b N2c N3 N3a N3b N3c,M0 M1 M1a M1b M1c MX,histology,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification; requires histology,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
48.0,Breast,268-289,True,True,False,recurrence/r,TX T0 Tis T1 T1mi T1a T1b T1c T2 T3 T4 T4a T4b T4c T4d,N0 N1 N1mi N2 N3,M0 M1 MX,grade/G; ER/PR/HER2; Oncotype/multigene,stage table uses N subcategories; stage table uses T subcategories; requires grade/G; requires ER/PR/HER2; requires Oncotype/multigene,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
50.0,Vulva,290-294,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3,NX N0 N0(i+) N1 N1mi N1a N1b N2 N2a N2b N2c N3 N2mi,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
51.0,Vagina,295-299,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N0(i+) N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
52.0,Cervix Uteri,300-303,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T2a T2b T3 T3a T3b T4,NX N0 N0(i+) N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
53.0,Corpus Uteri – Carcinoma and Carcinosarcoma,304-308,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T3a T3b T4,NX N0 N0(i+) N1 N1mi N1a N2 N2a N2mi,M0 M1 MX,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
54.1,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,310-313,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T2a T2b T3 T3a T3b T4,NX N0 N0(i+) N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
54.2,Corpus Uteri – Adenosarcoma,314-317,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T2 T2a T2b T3 T3a T3b T4,NX N0 N0(i+) N1,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
55.0,"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",318-322,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T2 T2a T2b T3 T3a T3b T3c,NX N0 N0(i+) N1 N1a N1b,M0 M1 M1a M1b MX,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
56.0,Gestational Trophoblastic Neoplasms,323-330,True,True,False,single/shared table,TX T0 T1 T2,,M0 M1a M1b MX,age,stage table uses M subcategories; requires age,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
57.0,Penis,331-334,True,True,False,single/shared table,TX T0 Tis Ta T1 T1a T1b T2 T3 T4,N0 N1 N2 N3,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
58.0,Prostate,335-339,True,True,False,single/shared table,TX T0 T1 T1a T1b T1c T2 T2a T2b T2c T3 T3a T3b T4,NX N0 N1,M0 M1 M1c MX,grade/G; PSA; Gleason/Grade Group,stage table uses T subcategories; requires grade/G; requires PSA; requires Gleason/Grade Group,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
