term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Thrombotic microangiopathy,Blood and lymphatic system disorders,CTCAE v6.0,,-,"Outpatient intervention indicated (e.g., modification of immunosuppression)",Transfusion or IV intervention indicated,Life-threatening consequences,Death,"A disorder characterized by a form of thrombotic microangiopathy with laboratory findings that indicate hemolytic anemia, severe thrombocytopenia, and renal insufficiency/failure.",-,9
Thrombotic thrombocytopenic purpura,Blood and lymphatic system disorders,CTCAE v6.0,,-,-,"Laboratory findings with clinical consequences (e.g., renal insufficiency, petechiae)","Life-threatening consequences, (e.g., CNS hemorrhage or thrombosis/embolism or renal failure)",Death,"A disorder characterized by a deficiency of ADAMTS13 and the presence of microangiopathic hemolytic anemia, thrombocytopenic purpura, fever, renal abnormalities and neurological abnormalities such as seizures, hemiplegia, and visual disturbances. It is an acute or subacute condition.",-,9
Aortic valve disease,Cardiac disorders,CTCAE v6.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in aortic valve function or structure.,-,10
Asystole,Cardiac disorders,CTCAE v6.0,,-,-,"Intervention indicated; device (e.g., pacemaker)",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia without cardiac electrical activity. Typically, this is accompanied by cessation of the pumping function of the heart.",-,10
Atrial fibrillation,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated; electrical cardioversion,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation; new onset",Life-threatening consequences,Death,A disorder characterized by a dysrhythmia without discernible P waves and an irregular ventricular response due to multiple reentry circuits. The rhythm disturbance originates above the ventricles.,-,10
Atrial flutter,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; device (e.g., pacemaker); ablation",Life-threatening consequences,Death,A disorder characterized by a dysrhythmia with organized rhythmic atrial contractions with a rate of 200-300 beats per minute. The rhythm disturbance originates in the atria.,-,11
Atrioventricular block complete,Cardiac disorders,CTCAE v6.0,,-,Non-urgent intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker); new onset",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with complete failure of atrial electrical impulse conduction through the AV node to the ventricles.,-,11
Atrioventricular block first degree,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent intervention indicated,-,-,-,A disorder characterized by a dysrhythmia with a delay in the time required for the conduction of an electrical impulse through the atrioventricular (AV) node beyond 0.2 seconds; prolongation of the PR interval greater than 200 milliseconds.,-,11
Cardiac arrest,Cardiac disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by cessation of the pumping function of the heart.,-,12
"Cardiac disorders - Other, specify",Cardiac disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,12
Chest pain - cardiac,Cardiac disorders,CTCAE v6.0,,Mild pain,Moderate pain; pain on exertion; hemodynamically stable; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Pain at rest; cardiac catheterization; new onset cardiac chest pain; unstable angina; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation e.g., angina pectoris.",Consider Cardiac disorders: Myocardial infarction. Record final diagnosis/cause once determined.,13
Heart failure,Cardiac disorders,CTCAE v6.0,,Mild symptoms; no initiation or intensification of treatment,Outpatient initiation or intensification of treatment,Hospitalization indicated,"Requiring inotropic support, mechanical circulatory support, or consideration of cardiac transplantation",Death,"A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.","If asymptomatic, consider Cardiac disorders: Left ventricular dysfunction.",13
Left ventricular dysfunction,Cardiac disorders,CTCAE v6.0,,Left ventricular ejection fraction (LVEF) ≥50% AND one or more of the following: 1) New relative decline in Global Longitudinal Strain (GLS) >15% from baseline 2) New rise in cardiac biomarkers,LVEF 40 - 49% AND one or more of the following: 1) LVEF reduction by ≥10% 2) New relative decline in GLS >15% from baseline 3) New rise in cardiac biomarkers,New LVEF reduction to <40%,-,-,A disorder characterized by an ASYMPTOMATIC abnormality of cardiac function.,"If symptomatic, consider Cardiac disorders: Heart failure.",14
Mitral valve disease,Cardiac disorders,CTCAE v6.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in mitral valve function or structure.,-,14
Mobitz (type) II atrioventricular block,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or require a device (e.g., pacemaker)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with relatively constant PR interval prior to the block of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,-,14
Mobitz type I,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Symptomatic; medical intervention indicated,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a progressively lengthening PR interval prior to the blocking of an atrial impulse. This is the result of intermittent failure of atrial electrical impulse conduction through the atrioventricular (AV) node to the ventricles.,-,15
Myocardial infarction,Cardiac disorders,CTCAE v6.0,,-,Asymptomatic; imaging or ECG features consistent with myocardial infarction which may be of uncertain age,Hemodynamically stable AND detection of a rise and/or fall of Cardiac troponin values with at least 1 value above the 99th percentile URL AND at least 1 of the following: 1) Symptoms of myocardial ischemia; 2) New ischemic ECG changes; 3) Development of pathological Q waves; 4) Imaging evidence of new loss of viable myocardium or new regional wall motion abnormality in a pattern consistent with an ischemic etiology; 5) Identification of a coronary thrombus by angiography,Life-threatening consequences; hemodynamically UNstable AND detection of a rise and/or fall of Cardiac troponin values with at least 1 value above the 99th percentile URL AND at least 1 of the following: 1) Symptoms of myocardial ischemia; 2) New ischemic ECG changes; 3) Development of pathological Q waves; 4) Imaging evidence of new loss of viable myocardium or new regional wall motion abnormality in a pattern consistent with an ischemic etiology; 5) Identification of a coronary thrombus by angiography,Death,A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.,-,16
Myocarditis,Cardiac disorders,CTCAE v6.0,,Asymptomatic with Lab or ECG findings only,Symptoms with moderate activity or exertion,Severe with symptoms at rest or with minimal activity or exertion; intervention indicated; new onset of symptoms,"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support); hemodynamically unstable requiring non-invasive or invasive ventilation; complete or high grade AV block; significant ventricular arrhythmia",Death,A disorder characterized by inflammation of the muscle tissue of the heart.,-,17
Palpitations,Cardiac disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Intervention indicated,-,-,-,A disorder characterized by an unpleasant sensation of irregular and/or forceful beating of the heart.,Record final diagnosis/cause once determined.,17
Paroxysmal atrial tachycardia,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated; ablation",Life-threatening consequences; incompletely controlled medically; cardioversion indicated,Death,A disorder characterized by a dysrhythmia with abrupt onset and sudden termination of atrial contractions with a rate of 150- 250 beats per minute. The rhythm disturbance originates in the atria.,-,17
Pericardial effusion,Cardiac disorders,CTCAE v6.0,,-,Asymptomatic effusion size small to moderate,Effusion with physiologic consequences,Life-threatening consequences; hospitalization,Death,"A disorder characterized by fluid collection within the pericardial sac, usually due to inflammation.","Consider Cardiac disorders: Pericardial tamponade, Pericarditis.",18
Pericardial tamponade,Cardiac disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an increase in intrapericardial pressure due to the collection of blood or fluid in the pericardium.,Consider Cardiac disorders: Pericarditis.,18
Pericarditis,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, ECG or physical findings (e.g., rub) consistent with pericarditis","Symptomatic pericarditis (e.g., chest pain)","Pericarditis with physiologic consequences (e.g., pericardial constriction)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by irritation to the layers of the pericardium (the protective sac around the heart).,-,18
Pulmonary valve disease,Cardiac disorders,CTCAE v6.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in pulmonary valve function or structure.,-,18
Sick sinus syndrome,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by a dysrhythmia with alternating periods of bradycardia and atrial tachycardia accompanied by syncope, fatigue and dizziness.",-,19
Sinus bradycardia,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated","Symptomatic, intervention not indicated; change in medication initiated","Symptomatic, intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a dysrhythmia with a heart rate less than 60 beats per minute that originates in the sinus node.,-,19
Sinus tachycardia,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Symptomatic; non-urgent medical intervention indicated,Urgent medical intervention indicated,-,-,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates in the sinus node.,Record final diagnosis/cause once determined.,19
Supraventricular tachycardia,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates above the ventricles.,-,19
Tricuspid valve disease,Cardiac disorders,CTCAE v6.0,,Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis,Asymptomatic; moderate regurgitation or stenosis by imaging,Symptomatic; severe regurgitation or stenosis; symptoms controlled with medical intervention,"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)",Death,A disorder characterized by a defect in tricuspid valve function or structure.,-,20
Ventricular arrhythmia,Cardiac disorders,CTCAE v6.0,,"Asymptomatic, intervention not indicated",Non-urgent medical intervention indicated,Urgent intervention indicated,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia that originates in the ventricles.,-,20
Ventricular fibrillation,Cardiac disorders,CTCAE v6.0,,-,-,-,Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia without discernible QRS complexes due to rapid repetitive excitation of myocardial fibers without coordinated contraction of the ventricles.,-,20
Ventricular tachycardia,Cardiac disorders,CTCAE v6.0,,-,Non-urgent medical intervention indicated,"Symptomatic, urgent intervention indicated",Life-threatening consequences; hemodynamic compromise,Death,A disorder characterized by a dysrhythmia with a heart rate greater than 100 beats per minute that originates distal to the bundle of His.,-,21
"Congenital, familial and genetic disorders - Other, specify","Congenital, familial and genetic disorders",CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,22
"Ear and labyrinth disorders - Other, specify",Ear and labyrinth disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,23
Ear pain,Ear and labyrinth disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the ear.,Record final diagnosis/cause once determined.,23
External ear pain,Ear and labyrinth disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the external ear region.,Record final diagnosis/cause once determined.,24
Hearing impaired,Ear and labyrinth disorders,CTCAE v6.0,,"Adult: Subjective change in hearing in the absence of documented hearing loss; threshold shift of 15 - 25 dB averaged at 2 contiguous test frequencies in at least one ear (on a 1, 2, 4, 3, 6, and 8 kHz audiogram); Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB hearing loss (HL) (i.e., 25 dB HL or greater); sensorineural hearing loss (SNHL) above 4 kHz (i.e., 6 or 8 kHz) in at least one ear","Adult: Hearing loss not requiring hearing aid; intervention not indicated; limiting instrumental ADL; threshold shift of >25 dB averaged at 2 contiguous test frequencies in at least one ear (on a 1, 2, 3, 4, 6, and 8 kHz audiogram); Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Threshold shift >20 dB at 4 kHz in at least one ear; mild/moderate impact on age-appropriate normal daily activity","Adult: Hearing loss requiring hearing aid; intervention indicated; limiting self-care ADL; threshold shift of >25 dB averaged at 3 contiguous test frequencies in at least one ear(on a 1, 2, 3, 4, 6, and 8 kHz audiogram); Pediatric (on a 1, 2, 3, 4, 6, and 8 kHz audiogram): Hearing loss sufficient to indicate therapeutic intervention, including hearing aids; threshold shift >20 dB at 2 to <4 kHz in at least one ear; severe impact on age-appropriate normal daily activity","Adult: Nonservicable hearing; decrease in hearing to profound bilateral loss (absolute threshold >80 dB HL at 2 kHz and above); Pediatric: Audiologic indication for cochlear implant; >40 dB HL (i.e., 45 dB HL or more); SNHL at 2 kHz and above",-,A disorder characterized by partial or complete loss of the ability to detect or understand sounds resulting from damage to ear structures.,-,25
Middle ear inflammation,Ear and labyrinth disorders,CTCAE v6.0,,Serous otitis,"Serous otitis, medical intervention indicated",Mastoiditis; necrosis of canal soft tissue or bone,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by inflammation (physiologic response to irritation), swelling and redness to the middle ear.",-,25
Tinnitus,Ear and labyrinth disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by noise in the ears, such as ringing, buzzing, roaring or clicking.",-,26
Vertigo,Ear and labyrinth disorders,CTCAE v6.0,,Mild symptoms,Moderate symptoms; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation as if the external world were revolving around the patient (objective vertigo) or as if he himself were revolving in space (subjective vertigo).,-,26
Vestibular disorder,Ear and labyrinth disorders,CTCAE v6.0,,-,Symptomatic; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by dizziness, imbalance, nausea, and vision problems.",-,26
Adrenal insufficiency,Endocrine disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by the adrenal cortex not producing enough of the hormone cortisol and in some cases, the hormone aldosterone. It may be due to a disorder of the adrenal cortex as in Addison's disease or primary adrenal insufficiency.",-,27
Cushingoid,Endocrine disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,"Severe symptoms, medical intervention or hospitalization indicated",-,-,"A disorder characterized by signs and symptoms that resemble Cushing's disease or syndrome: buffalo hump obesity, striations, adiposity, hypertension, diabetes, and osteoporosis, usually due to exogenous corticosteroids.",-,27
Delayed puberty,Endocrine disorders,CTCAE v6.0,,-,No breast development by age 13 yrs for females; testes volume of <3 cc or no Tanner Stage 2 development by age 14.5 yrs for males,No breast development by age 14 yrs for females; no increase in testes volume or no Tanner Stage 2 by age 16 yrs for males; hormone replacement indicated,-,-,A disorder characterized by unusually late sexual maturity.,-,27
"Endocrine disorders - Other, specify",Endocrine disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,28
Hyperparathyroidism,Endocrine disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by an increase in production of parathyroid hormone by the parathyroid glands. This results in hypercalcemia (abnormally high levels of calcium in the blood).,-,28
Hyperthyroidism,Endocrine disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid suppression therapy indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by excessive levels of thyroid hormone in the body. Common causes include an overactive thyroid gland or thyroid hormone overdose.,-,29
Hypogonadism,Endocrine disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of sex hormones from the gonads.,-,29
Hypoparathyroidism,Endocrine disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Moderate symptoms; medical intervention indicated,Severe symptoms; medical intervention or hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of parathyroid hormone by the parathyroid glands.,-,30
Hypophysitis,Endocrine disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation and cellular infiltration of the pituitary gland.,-,30
Hypopituitarism,Endocrine disorders,CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of hormones from the pituitary gland.,Consider Endocrine disorders: Hypophysitis.,31
Hypothyroidism,Endocrine disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; thyroid replacement initiated; increase in current thyroid replacement therapy; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a decrease in production of thyroid hormone by the thyroid gland.,Consider Endocrine disorders: Hypophysitis.,31
Precocious puberty,Endocrine disorders,CTCAE v6.0,,Physical signs of puberty with no biochemical markers for females <8 years and males <9 years,Physical signs and biochemical markers of puberty for females <8 years and males <9 years,-,-,-,A disorder characterized by unusually early development of secondary sexual features; the onset of sexual maturation begins usually before age 8 for girls and before age 9 for boys.,-,32
Testosterone deficiency,Endocrine disorders,CTCAE v6.0,,Asymptomatic; mild symptoms with no intervention indicated,Replacement therapy initiated,-,-,-,A disorder characterized by low testosterone.,-,32
Thyroiditis,Endocrine disorders,CTCAE v6.0,,Asymptomatic,Medical intervention indicated,Hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation or destruction of the thyroid gland.,-,32
Virilization,Endocrine disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by inappropriate masculinization occurring in a female or prepubertal male.,-,32
