site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Adrenal Cortical Carcinoma,AJCC8,any,T,T1,"Tumor 5 cm or less in greatest dimension, no extra-adrenal invasion (Figure 47.1)",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,T,T2,"Tumor greater than 5 cm, no extra-adrenal inva- sion (Figure 47.2)",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,T,T3,"Tumor of any size with local invasion, but not invading adjacent organs* (Figure 47.3)",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,T,T4,"Tumor of any size with invasion of adjacent organs* (Figure 47.4) * Note : Adjacent organs include kidney, diaphragm, great ves- sels, pancreas, spleen, and liver.",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,T,TX,Primary tumor cannot be assessed,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,N,N0,No regional lymph node metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,N,N1,Metastasis in regional lymph node(s),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,M,M0,No distance metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Distant Metastasis (M),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal Cortical Carcinoma,AJCC8,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: Tumor weight in grams: __________ Vascular invasion: ______________,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,535,DISTANT METASTASIS (M),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T0,No evidence of primary tumor,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T1,Tumor invades lamina propria or submucosa and size 1 cm or less* (small intestinal tumors); tumor 1 cm or less (ampullary tumors),,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T1a,Tumor size less than 1 cm in greatest dimension,,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T1b,Tumor size 1-2 cm in greatest dimension,,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T2,Tumor invades muscularis propria or size > 1 cm (small intestinal tumors); tumor > 1 cm (ampul- lary tumors),,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T3,Tumor invades through the muscularis propria into subserosal tissue without penetration of over- lying serosa (jejunal or ileal tumors) or invades pancreas or retroperitoneum (ampullary or duo- denal tumors) or into non-peritonealized tissues,,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T4,"Tumor invades visceral peritoneum (serosa) or invades other organs For any T, add (m) for multiple tumors * Note: Tumor limited to ampulla of Vater for ampullary gan- gliocytic paraganglioma.",,auto_extracted_v1_5_review,200,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,TX,Primary tumor cannot be assessed,,auto_extracted_v1_5_review,532,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,Tis,"Carcinoma in situ/dysplasia (tumor size less than 0.5 mm), confi ned to mucosa",,auto_extracted_v1_5_review,199,Primary Tumor (T),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,N,N0,No regional lymph node metastasis,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,N,N1,Duodenum/Ampulla/Jejunum/Ileum Regional lymph nodes cannot be assessed No regional lymph node metastasis Regional lymph node metastasis Colon or Rectum Regional lymph nodes cannot be assessed No regional lymph node metastasis Regional lymph node metastasis,,auto_extracted_v1_5_review,204,REGIONAL LYMPH NODES (N),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,,auto_extracted_v1_5_review,532,Regional Lymph Nodes (N),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,M,M0,No distance metastasis,,auto_extracted_v1_5_review,532,Distant Metastasis (M),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC7,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: Tumor weight in grams: __________ Vascular invasion: ______________,,auto_extracted_v1_5_review,535,DISTANT METASTASIS (M),manual_extraction_v1_5
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T0,No evidence of primary tumor,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T1,Tumor invades lamina propria or submucosa and size 1 cm or less* (small intestinal tumors); tumor 1 cm or less (ampullary tumors),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T1a,Tumor size less than 1 cm in greatest dimension,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T1b,Tumor size 1-2 cm in greatest dimension,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T2,Tumor invades muscularis propria or size > 1 cm (small intestinal tumors); tumor > 1 cm (ampul- lary tumors),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T3,Tumor invades through the muscularis propria into subserosal tissue without penetration of over- lying serosa (jejunal or ileal tumors) or invades pancreas or retroperitoneum (ampullary or duo- denal tumors) or into non-peritonealized tissues,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T4,"Tumor invades visceral peritoneum (serosa) or invades other organs For any T, add (m) for multiple tumors * Note: Tumor limited to ampulla of Vater for ampullary gan- gliocytic paraganglioma.",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,200,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,TX,Primary tumor cannot be assessed,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,Tis,"Carcinoma in situ/dysplasia (tumor size less than 0.5 mm), confi ned to mucosa",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,199,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,N,N0,No regional lymph node metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,N,N1,Duodenum/Ampulla/Jejunum/Ileum Regional lymph nodes cannot be assessed No regional lymph node metastasis Regional lymph node metastasis Colon or Rectum Regional lymph nodes cannot be assessed No regional lymph node metastasis Regional lymph node metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,204,REGIONAL LYMPH NODES (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,M,M0,No distance metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,532,Distant Metastasis (M),fallback_AJCC7_to_AJCC8_v1_5_review
Adrenal – Neuroendocrine Tumors,AJCC8,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: Tumor weight in grams: __________ Vascular invasion: ______________,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,535,DISTANT METASTASIS (M),fallback_AJCC7_to_AJCC8_v1_5_review
Ampulla of Vater,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,T1,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,T2,Tumor invades duodenal wall（侵犯十二指腸壁）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,T3,Tumor invades pancreas（侵犯胰臟）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,T4,Tumor invades peripancreatic soft tissues or other adjacent organs/structures（侵犯胰周軟組織或其他鄰近器官/構造）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T1,Tumor limited to ampulla/sphincter of Oddi or with perisphincteric/duodenal submucosal invasion（限於壺腹/Oddi 括約肌或侵犯括約肌周邊/十二指腸黏膜下層；依 T1a/T1b 細分）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T1a,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T1b,Tumor invades beyond sphincter of Oddi and/or into duodenal submucosa（侵犯 Oddi 括約肌外及/或十二指腸黏膜下層）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T2,Tumor invades muscularis propria of the duodenum（侵犯十二指腸固有肌層）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T3,Tumor directly invades pancreas or peripancreatic/periduodenal tissue without major arterial involvement（直接侵犯胰臟或胰周/十二指腸周邊組織，未侵犯主要動脈；依 T3a/T3b 細分）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T3a,Tumor directly invades pancreas up to 0.5 cm（直接侵犯胰臟 ≤0.5 cm）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T3b,Tumor extends >0.5 cm into pancreas or into peripancreatic/periduodenal tissue or duodenal serosa without celiac/SMA involvement（侵犯胰臟 >0.5 cm 或侵犯胰周/十二指腸周邊組織/十二指腸漿膜，未侵犯腹腔幹/SMA）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7,,,existing_v1_3
Ampulla of Vater,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7,,,existing_v1_3
Anus,AJCC7,any,T,T0,No evidence of primary tumor,,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,T1,Tumor 2 cm or less in greatest dimension (Figure 15.4),,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,T2,Tumor more than 2 cm but not more than 5 cm in greatest dimension (Figure 15.5),,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,T3,Tumor more than 5 cm in greatest dimension (Figure 15.6),,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,T4,"Tumor of any size invades adjacent organ(s), e.g., vagina, urethra, bladder* (Figure 15.7) * Note: Direct invasion of the rectal wall, perirectal skin, sub- cutaneous tissue, or the sphincter muscle(s) is not classifi ed as T4.",,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,TX,Primary tumor cannot be assessed,,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,T,Tis,"Carcinoma in situ (Bowen’s disease, high-grade squamous intraepithelial lesion (HSIL), anal intraepithelial neoplasia II-III (AIN II-III)",,auto_extracted_v1_5_review,183,Primary Tumor (T),manual_extraction_v1_5
Anus,AJCC7,any,N,N0,No regional lymph node metastasis,,auto_extracted_v1_5_review,183,Regional Lymph Nodes (N),manual_extraction_v1_5
Anus,AJCC7,any,N,N1,Metastasis in perirectal lymph node(s) (Figure 15.8),,auto_extracted_v1_5_review,183,Regional Lymph Nodes (N),manual_extraction_v1_5
Anus,AJCC7,any,N,N2,"Metastasis in unilateral internal iliac and/or ingui- nal lymph node(s) (Figure 15.9A, B)",,auto_extracted_v1_5_review,183,Regional Lymph Nodes (N),manual_extraction_v1_5
Anus,AJCC7,any,N,N3,Metastasis in perirectal and inguinal lymph nodes and/or bilateral internal iliac and/or inguinal lymph nodes (Figure 15.10A-C),,auto_extracted_v1_5_review,183,Regional Lymph Nodes (N),manual_extraction_v1_5
Anus,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed,,auto_extracted_v1_5_review,183,Regional Lymph Nodes (N),manual_extraction_v1_5
Anus,AJCC7,any,M,M0,No distant metastasis,,auto_extracted_v1_5_review,183,Distant Metastasis (M),manual_extraction_v1_5
Anus,AJCC7,any,M,M1,Stage unknown Stage unknown PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) REQUIRED FOR STAGING: None CLINICALLY SIGNIFICANT: HPV Status _________,,auto_extracted_v1_5_review,187,DISTANT METASTASIS (M),manual_extraction_v1_5
Anus,AJCC8,any,T,T0,No evidence of primary tumor,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,T1,Tumor 2 cm or less in greatest dimension (Figure 15.4),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,T2,Tumor more than 2 cm but not more than 5 cm in greatest dimension (Figure 15.5),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,T3,Tumor more than 5 cm in greatest dimension (Figure 15.6),AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,T4,"Tumor of any size invades adjacent organ(s), e.g., vagina, urethra, bladder* (Figure 15.7) * Note: Direct invasion of the rectal wall, perirectal skin, sub- cutaneous tissue, or the sphincter muscle(s) is not classifi ed as T4.",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,TX,Primary tumor cannot be assessed,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,T,Tis,"Carcinoma in situ (Bowen’s disease, high-grade squamous intraepithelial lesion (HSIL), anal intraepithelial neoplasia II-III (AIN II-III)",AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Primary Tumor (T),fallback_AJCC7_to_AJCC8_v1_5_review
Anus,AJCC8,any,N,N0,No regional lymph node metastasis,AJCC8 explicit definition was not present/extracted from the uploaded AJCC8 update/correction PDF; AJCC7 wording carried forward for display only and cancer committee review.,fallback_from_AJCC7_for_AJCC8_review_required,183,Regional Lymph Nodes (N),fallback_AJCC7_to_AJCC8_v1_5_review
