site,edition,classification,category_type,category,short_definition,detail_note,verification_status
Ampulla of Vater,AJCC8,any,T,T2,Tumor invades muscularis propria of the duodenum（侵犯十二指腸固有肌層）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T3,Tumor directly invades pancreas or peripancreatic/periduodenal tissue without major arterial involvement（直接侵犯胰臟或胰周/十二指腸周邊組織，未侵犯主要動脈；依 T3a/T3b 細分）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T3a,Tumor directly invades pancreas up to 0.5 cm（直接侵犯胰臟 ≤0.5 cm）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T3b,Tumor extends >0.5 cm into pancreas or into peripancreatic/periduodenal tissue or duodenal serosa without celiac/SMA involvement（侵犯胰臟 >0.5 cm 或侵犯胰周/十二指腸周邊組織/十二指腸漿膜，未侵犯腹腔幹/SMA）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7
Ampulla of Vater,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Ampulla of Vater,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,M,M1a,"Intraperitoneal metastasis beyond the right lower quadrant, including pseudomyxoma peritonei（右下腹以外腹腔內轉移，含腹膜偽黏液瘤）",,checked_v0_7
Appendix - carcinoma,AJCC7,any,M,M1b,Non-peritoneal metastasis（非腹膜遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T3,Tumor invades through muscularis propria into subserosa or mesoappendix（穿越肌層至漿膜下或闌尾繫膜）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T4,Tumor invades visceral peritoneum or directly invades/adheres to adjacent organs/structures（侵犯臟層腹膜或直接侵犯/沾黏鄰近器官/構造）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T4a,"Tumor invades through visceral peritoneum, including acellular mucin/mucinous epithelium on serosa or mesoappendix（侵犯穿透臟層腹膜，含無細胞黏液/黏液性上皮於漿膜或闌尾繫膜）",,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,T4b,Tumor directly invades or adheres to adjacent organs or structures（直接侵犯或沾黏鄰近器官/構造）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Appendix - carcinoma,AJCC7,any,T,Tis(LAMN),Low-grade appendiceal mucinous neoplasm confined by muscularis propria（低度惡性黏液性腫瘤，限於肌層內；依 AJCC8 表）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,M,M1a,Intraperitoneal acellular mucin without identifiable tumor cells（腹腔內無細胞黏液，未見腫瘤細胞）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,M,M1b,"Intraperitoneal metastasis only, including mucinous deposits containing tumor cells（僅腹腔內轉移，含有腫瘤細胞之黏液沉積）",,checked_v0_7
Appendix - carcinoma,AJCC8,any,M,M1c,Metastasis to sites other than peritoneum（非腹膜部位遠端轉移）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N1,One to three positive nodes or tumor deposits with all nodes negative（1–3 顆陽性淋巴結，或無陽性淋巴結但有 tumor deposits）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N1a,One positive regional lymph node（1 顆陽性區域淋巴結）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N1b,Two or three positive regional lymph nodes（2–3 顆陽性區域淋巴結）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N1c,Tumor deposits with all identifiable lymph nodes negative（無陽性淋巴結但有 tumor deposits）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,N2,Four or more positive regional lymph nodes（≥4 顆陽性區域淋巴結）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T3,Tumor invades through muscularis propria into subserosa or mesoappendix（穿越肌層至漿膜下或闌尾繫膜）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T4,Tumor invades visceral peritoneum or directly invades/adheres to adjacent organs/structures（侵犯臟層腹膜或直接侵犯/沾黏鄰近器官/構造）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T4a,"Tumor invades through visceral peritoneum, including acellular mucin/mucinous epithelium on serosa or mesoappendix（侵犯穿透臟層腹膜，含無細胞黏液/黏液性上皮於漿膜或闌尾繫膜）",,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,T4b,Tumor directly invades or adheres to adjacent organs or structures（直接侵犯或沾黏鄰近器官/構造）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Appendix - carcinoma,AJCC8,any,T,Tis(LAMN),Low-grade appendiceal mucinous neoplasm confined by muscularis propria（低度惡性黏液性腫瘤，限於肌層內；依 AJCC8 表）,,checked_v0_7
Colon,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Colon,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Colon,AJCC7,any,M,M1a,Metastasis confined to one distant organ or site（單一遠端器官/部位轉移）,,checked_v0_7
Colon,AJCC7,any,M,M1b,Metastases in more than one distant organ/site or the peritoneum（多個遠端器官/部位或腹膜轉移）,,checked_v0_7
Colon,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,N1,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）,,checked_v0_7
Colon,AJCC7,any,N,N1a,Metastasis in 1 regional lymph node（1 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,N1b,Metastasis in 2–3 regional lymph nodes（2–3 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,N1c,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）,,checked_v0_7
Colon,AJCC7,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,N2a,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,N2b,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Colon,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Colon,AJCC7,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Colon,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Colon,AJCC7,any,T,T3,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）,,checked_v0_7
Colon,AJCC7,any,T,T4a,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）,,checked_v0_7
Colon,AJCC7,any,T,T4b,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）,,checked_v0_7
Colon,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Colon,AJCC7,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）,,checked_v0_7
Colon,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Colon,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Colon,AJCC8,any,M,M1a,Metastasis to one distant organ/site without peritoneal metastasis（單一遠端器官/部位且無腹膜轉移）,,checked_v0_7
Colon,AJCC8,any,M,M1b,Metastases to two or more distant organs/sites without peritoneal metastasis（兩個以上遠端器官/部位且無腹膜轉移）,,checked_v0_7
Colon,AJCC8,any,M,M1c,"Metastasis to the peritoneal surface, with or without other organ/site metastases（有腹膜表面轉移，可合併其他遠端轉移）",,checked_v0_7
Colon,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）,,checked_v0_7
Colon,AJCC8,any,N,N1a,Metastasis in 1 regional lymph node（1 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,N1b,Metastasis in 2–3 regional lymph nodes（2–3 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,N1c,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）,,checked_v0_7
Colon,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,N2a,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,N2b,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Colon,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Colon,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Colon,AJCC8,any,T,T1,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Colon,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Colon,AJCC8,any,T,T3,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）,,checked_v0_7
Colon,AJCC8,any,T,T4a,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）,,checked_v0_7
Colon,AJCC8,any,T,T4b,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）,,checked_v0_7
Colon,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Colon,AJCC8,any,T,Tis,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）,,checked_v0_7
Distal bile duct,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Distal bile duct,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Distal bile duct,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Distal bile duct,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7
Distal bile duct,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Distal bile duct,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Distal bile duct,AJCC7,any,T,T1,Tumor confined to bile duct（限於膽管）,,checked_v0_7
Distal bile duct,AJCC7,any,T,T2,Tumor invades beyond bile duct wall（侵犯膽管壁外）,,checked_v0_7
Distal bile duct,AJCC7,any,T,T3,"Tumor invades gallbladder, pancreas, duodenum, or other adjacent organs without celiac/SMA involvement（侵犯膽囊、胰臟、十二指腸或其他鄰近器官，未侵犯腹腔幹/SMA）",,checked_v0_7
Distal bile duct,AJCC7,any,T,T4,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）,,checked_v0_7
Distal bile duct,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Distal bile duct,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7
Distal bile duct,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Distal bile duct,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Distal bile duct,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Distal bile duct,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7
Distal bile duct,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7
Distal bile duct,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Distal bile duct,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Distal bile duct,AJCC8,any,T,T1,Tumor invades bile duct wall with depth <5 mm（侵犯膽管壁，深度 <5 mm）,,checked_v0_7
Distal bile duct,AJCC8,any,T,T2,Tumor invades bile duct wall with depth 5–12 mm（侵犯膽管壁，深度 5–12 mm）,,checked_v0_7
Distal bile duct,AJCC8,any,T,T3,Tumor invades bile duct wall with depth >12 mm（侵犯膽管壁，深度 >12 mm）,,checked_v0_7
Distal bile duct,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7
Distal bile duct,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Distal bile duct,AJCC8,any,T,Tis,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T3,Tumor invades adventitia（侵犯外膜）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T4,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T4a,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,T4b,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC7,any,T,Tis,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T3,Tumor invades adventitia（侵犯外膜）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T4,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T4a,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,T4b,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）",,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Esophagus / EGJ - adenocarcinoma,AJCC8,any,T,Tis,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T2,Tumor invades muscularis propria（侵犯固有肌層）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T3,Tumor invades adventitia（侵犯外膜）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T4,Tumor invades adjacent structures（侵犯鄰近構造）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T4a,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,T4b,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC7,any,T,Tis,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,N,N1,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,N,N2,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,N,N3,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T1,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）",,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T1a,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）,,checked_v0_7
Esophagus / EGJ - squamous,AJCC8,any,T,T1b,Tumor invades submucosa（侵犯黏膜下層）,,checked_v0_7
