site,edition,category_type,category,definition_status,verification_status,definition
Appendix - carcinoma,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Appendix - carcinoma,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Appendix - carcinoma,AJCC8,M,M1a,FOUND,checked_v0_7,Intraperitoneal acellular mucin without identifiable tumor cells（腹腔內無細胞黏液，未見腫瘤細胞）
Appendix - carcinoma,AJCC8,M,M1b,FOUND,checked_v0_7,"Intraperitoneal metastasis only, including mucinous deposits containing tumor cells（僅腹腔內轉移，含有腫瘤細胞之黏液沉積）"
Appendix - carcinoma,AJCC8,M,M1c,FOUND,checked_v0_7,Metastasis to sites other than peritoneum（非腹膜部位遠端轉移）
Appendix - carcinoma,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Appendix - carcinoma,AJCC8,N,N1,FOUND,checked_v0_7,One to three positive nodes or tumor deposits with all nodes negative（1–3 顆陽性淋巴結，或無陽性淋巴結但有 tumor deposits）
Appendix - carcinoma,AJCC8,N,N1a,FOUND,checked_v0_7,One positive regional lymph node（1 顆陽性區域淋巴結）
Appendix - carcinoma,AJCC8,N,N1b,FOUND,checked_v0_7,Two or three positive regional lymph nodes（2–3 顆陽性區域淋巴結）
Appendix - carcinoma,AJCC8,N,N1c,FOUND,checked_v0_7,Tumor deposits with all identifiable lymph nodes negative（無陽性淋巴結但有 tumor deposits）
Appendix - carcinoma,AJCC8,N,N2,FOUND,checked_v0_7,Four or more positive regional lymph nodes（≥4 顆陽性區域淋巴結）
Appendix - carcinoma,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Appendix - carcinoma,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Appendix - carcinoma,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into subserosa or mesoappendix（穿越肌層至漿膜下或闌尾繫膜）
Appendix - carcinoma,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades visceral peritoneum or directly invades/adheres to adjacent organs/structures（侵犯臟層腹膜或直接侵犯/沾黏鄰近器官/構造）
Appendix - carcinoma,AJCC8,T,T4a,FOUND,checked_v0_7,"Tumor invades through visceral peritoneum, including acellular mucin/mucinous epithelium on serosa or mesoappendix（侵犯穿透臟層腹膜，含無細胞黏液/黏液性上皮於漿膜或闌尾繫膜）"
Appendix - carcinoma,AJCC8,T,T4b,FOUND,checked_v0_7,Tumor directly invades or adheres to adjacent organs or structures（直接侵犯或沾黏鄰近器官/構造）
Appendix - carcinoma,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Appendix - carcinoma,AJCC8,T,Tis(LAMN),FOUND,checked_v0_7,Low-grade appendiceal mucinous neoplasm confined by muscularis propria（低度惡性黏液性腫瘤，限於肌層內；依 AJCC8 表）
Colon,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Colon,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Colon,AJCC7,M,M1a,FOUND,checked_v0_7,Metastasis confined to one distant organ or site（單一遠端器官/部位轉移）
Colon,AJCC7,M,M1b,FOUND,checked_v0_7,Metastases in more than one distant organ/site or the peritoneum（多個遠端器官/部位或腹膜轉移）
Colon,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Colon,AJCC7,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）
Colon,AJCC7,N,N1c,FOUND,checked_v0_7,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）
Colon,AJCC7,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Colon,AJCC7,N,N2a,FOUND,checked_v0_7,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）
Colon,AJCC7,N,N2b,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Colon,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Colon,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Colon,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）
Colon,AJCC7,T,T4a,FOUND,checked_v0_7,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）
Colon,AJCC7,T,T4b,FOUND,checked_v0_7,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）
Colon,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）
Colon,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Colon,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Colon,AJCC8,M,M1a,FOUND,checked_v0_7,Metastasis to one distant organ/site without peritoneal metastasis（單一遠端器官/部位且無腹膜轉移）
Colon,AJCC8,M,M1b,FOUND,checked_v0_7,Metastases to two or more distant organs/sites without peritoneal metastasis（兩個以上遠端器官/部位且無腹膜轉移）
Colon,AJCC8,M,M1c,FOUND,checked_v0_7,"Metastasis to the peritoneal surface, with or without other organ/site metastases（有腹膜表面轉移，可合併其他遠端轉移）"
Colon,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Colon,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes or applicable N1 subcategory（1–3 顆區域淋巴結轉移，或符合 N1 子類別）
Colon,AJCC8,N,N1a,FOUND,checked_v0_7,Metastasis in 1 regional lymph node（1 顆區域淋巴結轉移）
Colon,AJCC8,N,N1b,FOUND,checked_v0_7,Metastasis in 2–3 regional lymph nodes（2–3 顆區域淋巴結轉移）
Colon,AJCC8,N,N1c,FOUND,checked_v0_7,Tumor deposit(s) without positive regional lymph nodes（無陽性區域淋巴結但有 tumor deposits）
Colon,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Colon,AJCC8,N,N2a,FOUND,checked_v0_7,Metastasis in 4–6 regional lymph nodes（4–6 顆區域淋巴結轉移）
Colon,AJCC8,N,N2b,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Colon,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Colon,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Colon,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades through muscularis propria into pericolorectal tissues（穿越固有肌層至結腸/直腸周圍組織）
Colon,AJCC8,T,T4a,FOUND,checked_v0_7,Tumor penetrates to the surface of the visceral peritoneum（穿透至臟層腹膜表面）
Colon,AJCC8,T,T4b,FOUND,checked_v0_7,Tumor directly invades or adheres to other organs or structures（直接侵犯或沾黏其他器官/構造）
Colon,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ: intraepithelial or invasion of lamina propria（原位癌；上皮內或侵犯固有層）
Distal bile duct,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Distal bile duct,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Distal bile duct,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Distal bile duct,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Distal bile duct,AJCC7,T,T1,FOUND,checked_v0_7,Tumor confined to bile duct（限於膽管）
Distal bile duct,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades beyond bile duct wall（侵犯膽管壁外）
Distal bile duct,AJCC7,T,T3,FOUND,checked_v0_7,"Tumor invades gallbladder, pancreas, duodenum, or other adjacent organs without celiac/SMA involvement（侵犯膽囊、胰臟、十二指腸或其他鄰近器官，未侵犯腹腔幹/SMA）"
Distal bile duct,AJCC7,T,T4,FOUND,checked_v0_7,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）
Distal bile duct,AJCC7,T,Tis,FOUND,checked_v0_7,Carcinoma in situ（原位癌）
Distal bile duct,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Distal bile duct,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Distal bile duct,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Distal bile duct,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Distal bile duct,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Distal bile duct,AJCC8,T,T1,FOUND,checked_v0_7,Tumor invades bile duct wall with depth <5 mm（侵犯膽管壁，深度 <5 mm）
Distal bile duct,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades bile duct wall with depth 5–12 mm（侵犯膽管壁，深度 5–12 mm）
Distal bile duct,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades bile duct wall with depth >12 mm（侵犯膽管壁，深度 >12 mm）
Distal bile duct,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）"
Distal bile duct,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ / high-grade dysplasia（原位癌／高度異生）
Esophagus / EGJ - adenocarcinoma,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,N,N1,FOUND,checked_v0_7,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,N,N2,FOUND,checked_v0_7,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,N,N3,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC7,T,T1,FOUND,checked_v0_7,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）"
Esophagus / EGJ - adenocarcinoma,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Esophagus / EGJ - adenocarcinoma,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades adventitia（侵犯外膜）
Esophagus / EGJ - adenocarcinoma,AJCC7,T,T4a,FOUND,checked_v0_7,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）"
Esophagus / EGJ - adenocarcinoma,AJCC7,T,T4b,FOUND,checked_v0_7,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）"
Esophagus / EGJ - adenocarcinoma,AJCC7,T,Tis,FOUND,checked_v0_7,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）
Esophagus / EGJ - adenocarcinoma,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,N,N3,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Esophagus / EGJ - adenocarcinoma,AJCC8,T,T1,FOUND,checked_v0_7,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）"
Esophagus / EGJ - adenocarcinoma,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Esophagus / EGJ - adenocarcinoma,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades adventitia（侵犯外膜）
Esophagus / EGJ - adenocarcinoma,AJCC8,T,T4a,FOUND,checked_v0_7,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）"
Esophagus / EGJ - adenocarcinoma,AJCC8,T,T4b,FOUND,checked_v0_7,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）"
Esophagus / EGJ - adenocarcinoma,AJCC8,T,Tis,FOUND,checked_v0_7,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）
Esophagus / EGJ - squamous,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Esophagus / EGJ - squamous,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Esophagus / EGJ - squamous,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC7,N,N1,FOUND,checked_v0_7,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC7,N,N2,FOUND,checked_v0_7,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC7,N,N3,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC7,T,T1,FOUND,checked_v0_7,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）"
Esophagus / EGJ - squamous,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Esophagus / EGJ - squamous,AJCC7,T,T3,FOUND,checked_v0_7,Tumor invades adventitia（侵犯外膜）
Esophagus / EGJ - squamous,AJCC7,T,T4a,FOUND,checked_v0_7,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）"
Esophagus / EGJ - squamous,AJCC7,T,T4b,FOUND,checked_v0_7,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）"
Esophagus / EGJ - squamous,AJCC7,T,Tis,FOUND,checked_v0_7,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）
Esophagus / EGJ - squamous,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Esophagus / EGJ - squamous,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Esophagus / EGJ - squamous,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–2 regional lymph nodes（1–2 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 3–6 regional lymph nodes（3–6 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC8,N,N3,FOUND,checked_v0_7,Metastasis in 7 or more regional lymph nodes（≥7 顆區域淋巴結轉移）
Esophagus / EGJ - squamous,AJCC8,T,T1,FOUND,checked_v0_7,"Tumor invades lamina propria, muscularis mucosae, or submucosa（侵犯固有層、黏膜肌層或黏膜下層）"
Esophagus / EGJ - squamous,AJCC8,T,T1a,FOUND,checked_v0_7,Tumor invades lamina propria or muscularis mucosae（侵犯固有層或黏膜肌層）
Esophagus / EGJ - squamous,AJCC8,T,T1b,FOUND,checked_v0_7,Tumor invades submucosa（侵犯黏膜下層）
Esophagus / EGJ - squamous,AJCC8,T,T2,FOUND,checked_v0_7,Tumor invades muscularis propria（侵犯固有肌層）
Esophagus / EGJ - squamous,AJCC8,T,T3,FOUND,checked_v0_7,Tumor invades adventitia（侵犯外膜）
Esophagus / EGJ - squamous,AJCC8,T,T4,FOUND,checked_v0_7,Tumor invades adjacent structures（侵犯鄰近構造）
Esophagus / EGJ - squamous,AJCC8,T,T4a,FOUND,checked_v0_7,"Resectable invasion of pleura, pericardium, azygos vein, diaphragm, or peritoneum（可切除之鄰近構造侵犯；依版本/章節用語）"
Esophagus / EGJ - squamous,AJCC8,T,T4b,FOUND,checked_v0_7,"Unresectable invasion such as aorta, vertebral body, trachea, or major airway（不可切除侵犯，如主動脈、椎體、氣管/主要氣道等）"
Esophagus / EGJ - squamous,AJCC8,T,Tis,FOUND,checked_v0_7,High-grade dysplasia / carcinoma in situ category for esophageal/EGJ staging（食道／EGJ 高度異生／原位病變）
Exocrine pancreas,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Exocrine pancreas,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Exocrine pancreas,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Exocrine pancreas,AJCC7,N,N1,FOUND,checked_v0_7,Regional lymph node metastasis（區域淋巴結轉移）
Exocrine pancreas,AJCC7,T,T1,FOUND,checked_v0_7,"Tumor limited to pancreas, ≤2 cm（限於胰臟且 ≤2 cm）"
Exocrine pancreas,AJCC7,T,T2,FOUND,checked_v0_7,"Tumor limited to pancreas, >2 cm（限於胰臟且 >2 cm）"
Exocrine pancreas,AJCC7,T,T3,FOUND,checked_v0_7,Tumor extends beyond pancreas without involvement of celiac axis or SMA（超出胰臟但未侵犯腹腔幹或上腸繫膜動脈）
Exocrine pancreas,AJCC7,T,T4,FOUND,checked_v0_7,Tumor involves celiac axis or superior mesenteric artery（侵犯腹腔幹或上腸繫膜動脈）
Exocrine pancreas,AJCC7,T,Tis,FOUND,checked_v0_7,"Carcinoma in situ, including PanIN-III（原位癌，含 PanIN-III）"
Exocrine pancreas,AJCC8,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Exocrine pancreas,AJCC8,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Exocrine pancreas,AJCC8,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Exocrine pancreas,AJCC8,N,N1,FOUND,checked_v0_7,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）
Exocrine pancreas,AJCC8,N,N2,FOUND,checked_v0_7,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）
Exocrine pancreas,AJCC8,T,T1,FOUND,checked_v0_7,Tumor ≤2 cm in greatest dimension（最大徑 ≤2 cm；依 T1a/T1b/T1c 細分）
Exocrine pancreas,AJCC8,T,T1a,FOUND,checked_v0_7,Tumor ≤0.5 cm（最大徑 ≤0.5 cm）
Exocrine pancreas,AJCC8,T,T1b,FOUND,checked_v0_7,Tumor >0.5 cm and <1 cm（最大徑 >0.5 且 <1 cm）
Exocrine pancreas,AJCC8,T,T1c,FOUND,checked_v0_7,Tumor 1–2 cm（最大徑 1–2 cm）
Exocrine pancreas,AJCC8,T,T2,FOUND,checked_v0_7,Tumor >2 cm and ≤4 cm（最大徑 >2 且 ≤4 cm）
Exocrine pancreas,AJCC8,T,T3,FOUND,checked_v0_7,Tumor >4 cm（最大徑 >4 cm）
Exocrine pancreas,AJCC8,T,T4,FOUND,checked_v0_7,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）"
Exocrine pancreas,AJCC8,T,Tis,FOUND,checked_v0_7,Carcinoma in situ / high-grade precursor lesion（原位癌／高度異生前驅病灶）
Gallbladder,AJCC7,M,M0,FOUND,checked_v0_7,No distant metastasis（無遠端轉移）
Gallbladder,AJCC7,M,M1,FOUND,checked_v0_7,Distant metastasis（有遠端轉移）
Gallbladder,AJCC7,N,N0,FOUND,checked_v0_7,No regional lymph node metastasis（無區域淋巴結轉移）
Gallbladder,AJCC7,N,N1,FOUND,checked_v0_7,"Regional nodes along cystic duct, common bile duct, hepatic artery, and/or portal vein（膽囊管、總膽管、肝動脈及/或門靜脈旁區域淋巴結）"
Gallbladder,AJCC7,N,N2,FOUND,checked_v0_7,"Periaortic, pericaval, SMA, and/or celiac lymph node metastasis（主動脈旁、腔靜脈旁、SMA及/或腹腔淋巴結轉移）"
Gallbladder,AJCC7,T,T1,FOUND,checked_v0_7,Tumor invades lamina propria or muscle layer（侵犯固有層或肌層）
Gallbladder,AJCC7,T,T2,FOUND,checked_v0_7,Tumor invades perimuscular connective tissue without extension beyond serosa or into liver（侵犯肌周結締組織，未穿過漿膜且未侵犯肝）
Gallbladder,AJCC7,T,T3,FOUND,checked_v0_7,Tumor perforates serosa and/or directly invades liver and/or one adjacent organ/structure（穿破漿膜及/或直接侵犯肝或一個鄰近器官/構造）
Gallbladder,AJCC7,T,T4,FOUND,checked_v0_7,Tumor invades main portal vein/hepatic artery or invades two or more extrahepatic organs/structures（侵犯主門靜脈/肝動脈或兩個以上肝外器官/構造）
