site_group,site_order,tool_site,ajcc7_source_sites,ajcc8_source_sites,crosswalk_note
Gastrointestinal & HPB / 消化道與肝膽胰,1,Esophagus / EGJ - squamous,Esophagus / EGJ - squamous | Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus / EGJ - squamous | Esophagus and Esophagogastric Junction,
Gastrointestinal & HPB / 消化道與肝膽胰,2,Esophagus / EGJ - adenocarcinoma,Esophagus / EGJ - adenocarcinoma | Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus / EGJ - adenocarcinoma | Esophagus and Esophagogastric Junction,
Gastrointestinal & HPB / 消化道與肝膽胰,3,Stomach,Stomach,Stomach,
Gastrointestinal & HPB / 消化道與肝膽胰,4,Small intestine,Small intestine | Small Intestine,Small intestine | Small Intestine,
Gastrointestinal & HPB / 消化道與肝膽胰,5,Colon,Colon | Colon and Rectum,Colon | Colon and Rectum,
Gastrointestinal & HPB / 消化道與肝膽胰,6,Rectum,Rectum | Colon and Rectum,Rectum | Colon and Rectum,
Gastrointestinal & HPB / 消化道與肝膽胰,7,Appendix - carcinoma,Appendix - carcinoma | Appendix,Appendix - carcinoma | Appendix - Carcinoma,
Gastrointestinal & HPB / 消化道與肝膽胰,9,HCC / Liver,HCC / Liver | Liver (Excluding intrahepatic bile ducts) | Liver,HCC / Liver | Liver,
Gastrointestinal & HPB / 消化道與肝膽胰,10,Intrahepatic bile duct,Intrahepatic bile duct | Intrahepatic Bile Ducts,Intrahepatic bile duct | Intrahepatic Bile Ducts | Intrahepatic Bile Duct,
Gastrointestinal & HPB / 消化道與肝膽胰,11,Perihilar bile duct,Perihilar bile duct | Perihilar Bile Ducts,Perihilar bile duct | Perihilar Bile Ducts,
Gastrointestinal & HPB / 消化道與肝膽胰,12,Distal bile duct,Distal bile duct | Distal Bile Duct,Distal bile duct | Distal Bile Ducts,
Gastrointestinal & HPB / 消化道與肝膽胰,13,Gallbladder,Gallbladder,Gallbladder,
Gastrointestinal & HPB / 消化道與肝膽胰,14,Ampulla of Vater,Ampulla of Vater,Ampulla of Vater,
Gastrointestinal & HPB / 消化道與肝膽胰,15,Exocrine pancreas,Exocrine pancreas | Pancreas - exocrine/endocrine (AJCC7) | Exocrine and Endocrine Pancreas,Exocrine pancreas | Exocrine Pancreas,
Gastrointestinal & HPB / 消化道與肝膽胰,36,Esophagus and Esophagogastric Junction: Other Histologies,Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction,
Gastrointestinal & HPB / 消化道與肝膽胰,37,Small Intestine: Other Histologies,Small intestine | Small Intestine,Small intestine | Small Intestine,
Gastrointestinal & HPB / 消化道與肝膽胰,38,Anus,Anus,Anus,
Neuroendocrine & GIST / 神經內分泌與GIST,8,GIST,GIST | Gastrointestinal Stromal Tumor,GIST | Gastrointestinal Stromal Tumor,
Neuroendocrine & GIST / 神經內分泌與GIST,16,NET - stomach,NET - stomach | Neuroendocrine Tumors,NET - stomach | Neuroendocrine Tumors of the Stomach,
Neuroendocrine & GIST / 神經內分泌與GIST,17,NET - duodenum / ampulla,NET - duodenum / ampulla | Neuroendocrine Tumors,NET - duodenum / ampulla | Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,
Neuroendocrine & GIST / 神經內分泌與GIST,18,NET - jejunum / ileum,NET - jejunum / ileum | Neuroendocrine Tumors,NET - jejunum / ileum | Neuroendocrine Tumors of the Jejunum and Ileum,
Neuroendocrine & GIST / 神經內分泌與GIST,19,NET - appendix,NET - appendix | Neuroendocrine Tumors,NET - appendix | Neuroendocrine Tumors of the Appendix,
Neuroendocrine & GIST / 神經內分泌與GIST,20,NET - colon / rectum,NET - colon / rectum | Neuroendocrine Tumors,NET - colon / rectum | Neuroendocrine Tumors of the Colon and Rectum,
Neuroendocrine & GIST / 神經內分泌與GIST,21,NET - pancreas,NET - pancreas | Neuroendocrine Tumors | Pancreas - exocrine/endocrine (AJCC7),NET - pancreas | Neuroendocrine Tumors of the Pancreas,
Bone & Soft Tissue / 骨與軟組織,42,"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",Bone,Bone,
Bone & Soft Tissue / 骨與軟組織,43,Bone: Spine,Bone,Bone,
Bone & Soft Tissue / 骨與軟組織,44,Bone: Pelvis,Bone,Bone,
Bone & Soft Tissue / 骨與軟組織,45,Soft Tissue Sarcoma of the Head and Neck,Soft Tissue Sarcoma,Soft Tissue Sarcoma of the Head and Neck,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Bone & Soft Tissue / 骨與軟組織,46,Soft Tissue Sarcoma of the Trunk and Extremities,Soft Tissue Sarcoma,Soft Tissue Sarcoma of the Trunk and Extremities,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Bone & Soft Tissue / 骨與軟組織,47,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,Soft Tissue Sarcoma,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Bone & Soft Tissue / 骨與軟組織,48,Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma,Soft Tissue Sarcoma of the Retroperitoneum,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Bone & Soft Tissue / 骨與軟組織,49,Soft Tissue Sarcoma – Unusual Histologies and Sites,Soft Tissue Sarcoma,Soft Tissue Sarcoma – Unusual Histologies and Sites,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.
Skin / 皮膚,50,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Merkel Cell Carcinoma,
Skin / 皮膚,51,Melanoma of the Skin,Melanoma of the Skin,Melanoma of the Skin,
Gynecologic / 婦癌,53,Vulva,Vulva,Vulva,
Gynecologic / 婦癌,54,Vagina,Vagina,Vagina,
Gynecologic / 婦癌,55,Cervix Uteri,Cervix Uteri,Cervix Uteri,
Gynecologic / 婦癌,56,Corpus Uteri – Carcinoma and Carcinosarcoma,Corpus Uteri,Corpus Uteri - Carcinoma and Carcinosarcoma | Corpus Uteri – Carcinoma and Carcinosarcoma,
Gynecologic / 婦癌,57,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,Corpus Uteri,Corpus Uteri - Sarcoma | Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,
Gynecologic / 婦癌,58,Corpus Uteri – Adenosarcoma,Corpus Uteri,Corpus Uteri - Sarcoma | Corpus Uteri – Adenosarcoma,
Gynecologic / 婦癌,59,"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",Ovary and Primary Peritoneal Carcinoma | Fallopian Tube,"Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma | Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",
Gynecologic / 婦癌,60,Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Tumors,Gestational Trophoblastic Neoplasms,
Genitourinary / 泌尿與男性生殖,61,Penis,Penis,Penis,
Genitourinary / 泌尿與男性生殖,62,Prostate,Prostate,Prostate,
Genitourinary / 泌尿與男性生殖,63,Testis,Testis,Testis,
Genitourinary / 泌尿與男性生殖,64,Kidney,Kidney,Kidney,
Genitourinary / 泌尿與男性生殖,65,Urinary Bladder: Urothelial Carcinomas,Urinary Bladder,Urinary Bladder,
Genitourinary / 泌尿與男性生殖,66,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,Urinary Bladder,Urinary Bladder,
Genitourinary / 泌尿與男性生殖,67,Male Penile Urethra and Female Urethra: Urothelial Carcinomas,Urethra,Urethra,
Genitourinary / 泌尿與男性生殖,68,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Urethra,Urethra,
Genitourinary / 泌尿與男性生殖,69,Prostatic Urethra: Urothelial Carcinomas,Urethra,Urethra,
Genitourinary / 泌尿與男性生殖,70,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Urethra,Urethra,
Ophthalmic / 眼科腫瘤,71,Eyelid Carcinoma,Carcinoma of the Eyelid,Eyelid Carcinoma,
Ophthalmic / 眼科腫瘤,72,Conjunctival Carcinoma,Carcinoma of the Conjunctiva,Conjunctival Carcinoma,
Ophthalmic / 眼科腫瘤,73,Conjunctival Melanoma,Malignant Melanoma of the Conjunctiva,Conjunctival Melanoma,
Ophthalmic / 眼科腫瘤,74,Uveal Melanoma – Iris Melanoma,Malignant Melanoma of the Uvea,Uveal Melanoma,
Ophthalmic / 眼科腫瘤,75,Uveal Melanoma – Choroidal and Ciliary Body Melanoma,Malignant Melanoma of the Uvea,Uveal Melanoma,
Ophthalmic / 眼科腫瘤,76,Retinoblastoma,Retinoblastoma,Retinoblastoma,
Ophthalmic / 眼科腫瘤,77,Lacrimal Gland Carcinoma,Carcinoma of the Lacrimal Gland,Lacrimal Gland Carcinoma,
Ophthalmic / 眼科腫瘤,78,Orbital Sarcoma,Sarcoma of the Orbit,Orbital Sarcoma,
Ophthalmic / 眼科腫瘤,79,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma,
CNS / 中樞神經,80,Brain and Spinal Cord,Brain and Spinal Cord,Brain and Spinal Cord,
Endocrine / 內分泌,81,Thyroid – Differentiated,Thyroid,Thyroid - Differentiated and Anaplastic Carcinoma,
Endocrine / 內分泌,82,Thyroid – Anaplastic,Thyroid,Thyroid - Differentiated and Anaplastic Carcinoma,
Endocrine / 內分泌,83,Thyroid – Medullary,Thyroid,Thyroid - Medullary,
Endocrine / 內分泌,84,Parathyroid,,Parathyroid,
Endocrine / 內分泌,85,Adrenal Cortical Carcinoma,Adrenal,Adrenal Cortical Carcinoma,
Endocrine / 內分泌,86,Adrenal – Neuroendocrine Tumors,Adrenal | Neuroendocrine Tumors,Adrenal - Neuroendocrine Tumors,
Hematologic & Lymphoid / 血液淋巴,87,Non-Hodgkin Lymphomas: Unspecified or Other Type,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,88,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,89,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,90,Non-Hodgkin Lymphomas: Follicular Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,91,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,92,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,93,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,94,Hodgkin Lymphoma,Lymphoid Neoplasms,Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,95,Pediatric Hodgkin Lymphoma,Lymphoid Neoplasms,Pediatric Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,96,Pediatric Non-Hodgkin Lymphoma,Lymphoid Neoplasms,Pediatric Hodgkin and Non-Hodgkin Lymphomas,
Hematologic & Lymphoid / 血液淋巴,97,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,Lymphoid Neoplasms,Primary Cutaneous Lymphomas,
Hematologic & Lymphoid / 血液淋巴,98,Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),Lymphoid Neoplasms,Primary Cutaneous Lymphomas,
Hematologic & Lymphoid / 血液淋巴,99,Plasma Cell Myeloma and Plasma Cell Disorders,Lymphoid Neoplasms,Plasma Cell Myeloma and Plasma Cell Disorders,
