site,edition,row_count,classifications,status,t_tokens,n_tokens,m_tokens,notes
Distal bile duct,AJCC8,8,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Gallbladder,AJCC7,11,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Gallbladder,AJCC8,10,any,RULES_PRESENT,T1|T1a|T1b|T2|T2a|T2b|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Ampulla of Vater,AJCC7,9,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Ampulla of Vater,AJCC8,11,any,RULES_PRESENT,T1|T1a|T1b|T2|T3|T3a|T3b|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Exocrine pancreas,AJCC7,9,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
Exocrine pancreas,AJCC8,8,any,RULES_PRESENT,T1|T1a|T1b|T1c|T2|T3|T4|Tis,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - stomach,AJCC7,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - stomach,AJCC8,5,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - duodenum / ampulla,AJCC7,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - duodenum / ampulla,AJCC8,5,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - jejunum / ileum,AJCC7,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - jejunum / ileum,AJCC8,5,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1|N2,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - appendix,AJCC7,10,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - appendix,AJCC8,5,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - colon / rectum,AJCC7,7,any,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - colon / rectum,AJCC8,6,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - pancreas,AJCC7,14,clinical|pathological,RULES_PRESENT,T1|T2|T3|T4|Tis,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
NET - pancreas,AJCC8,5,any,RULES_PRESENT,T1|T2|T3|T4,N0|N1,M0|M1,"v0.6 coverage is for current quick-staging site list, not a licensed full AJCC software implementation."
